Wall time,Step,Value
1604493110.7921169,784,149.63009643554688
1604493112.625201,785,162.8551025390625
1604493116.4824116,787,169.71188354492188
1604493120.3327422,789,161.6422576904297
1604493124.0935407,791,160.68405151367188
1604493126.186216,792,163.62200927734375
1604493128.2686157,793,168.40863037109375
1604493130.128843,794,148.8151397705078
1604493131.8529656,795,153.84658813476562
1604493136.9508393,798,152.07603454589844
1604493140.816114,800,160.74729919433594
1604493146.1857839,802,162.36868286132812
1604493151.3875518,805,154.84945678710938
1604493154.7936506,807,150.13735961914062
1604493156.7622838,808,158.2300567626953
1604493158.4886417,809,141.79124450683594
1604493165.817683,813,158.71556091308594
1604493169.3501794,815,142.28675842285156
1604493171.121824,816,151.38726806640625
1604493174.7631655,818,154.05674743652344
1604493180.061933,821,144.8477325439453
1604493187.4429212,825,134.22970581054688
1604493192.8803208,828,149.5277099609375
1604493198.1896365,831,148.5454864501953
1604493200.0057757,832,156.84375
1604493203.6142218,834,138.41635131835938
1604493207.2878063,836,125.92357635498047
1604493210.853783,838,124.1585922241211
1604493220.2989883,843,140.15785217285156
1604493225.8631082,846,115.4546127319336
1604493227.8164144,847,135.48773193359375
1604493229.9987905,848,144.01914978027344
1604493238.239151,851,129.7736358642578
1604493254.0326135,859,114.18726348876953
1604493255.7643414,860,131.5365753173828
1604493257.696553,861,131.236572265625
1604493261.3445923,863,100.27599334716797
1604493268.52236,867,112.987548828125
1604493272.1784446,869,116.24812316894531
1604493274.1161554,870,134.64833068847656
1604493281.5655677,874,117.8028335571289
1604493285.24522,876,105.58605194091797
1604493287.1843765,877,113.85427856445312
1604493292.8534846,880,109.07980346679688
1604493296.6393209,882,125.48785400390625
1604493300.5757174,884,121.28480529785156
1604493306.5515003,887,111.32133483886719
1604493311.0318685,889,122.47325134277344
1604493312.9779215,890,107.3493423461914
1604493316.7698965,892,121.60336303710938
1604493318.793989,893,108.91041564941406
1604493324.44565,896,105.24803161621094
1604493330.1399553,899,115.55206298828125
1604493332.0180871,900,115.48709106445312
1604493347.1953337,907,106.1373291015625
1604493349.0528018,908,114.11640930175781
1604493350.955926,909,106.18946838378906
1604493352.740966,910,93.39729309082031
1604493356.4821692,912,98.06721496582031
1604493358.3641655,913,119.95194244384766
1604493362.2391455,915,103.95923614501953
1604493364.0966845,916,90.18359375
1604493365.9939966,917,111.17811584472656
1604493371.5595148,920,106.7013168334961
1604493373.6872802,921,88.87371826171875
1604493375.7293577,922,92.75161743164062
1604493377.6548538,923,103.04029846191406
1604493381.3804102,925,109.7531509399414
1604493393.059193,931,107.90078735351562
1604493394.9692533,932,101.15386199951172
1604493401.3502793,935,93.64677429199219
1604493415.8890448,942,101.30349731445312
1604493421.9091964,945,83.4231948852539
1604493438.3379347,952,82.69544982910156
1604493440.3862026,953,102.61530303955078
1604493442.4108248,954,90.01567077636719
1604493446.5836303,956,79.40654754638672
1604493448.6727517,957,91.14232635498047
1604493450.551817,958,82.16248321533203
1604493456.8684192,961,79.52896881103516
1604493458.8332052,962,80.33099365234375
1604493462.7632978,964,86.97317504882812
1604493467.0042045,966,79.68040466308594
1604493468.9416316,967,82.82109832763672
1604493476.465834,971,88.3292465209961
1604493478.299005,972,84.37409210205078
1604493487.2560825,976,93.46121215820312
1604493490.0669596,977,74.23414611816406
1604493492.799511,978,92.11921691894531
1604493494.8166986,979,80.80330657958984
1604493500.4694643,982,69.76178741455078
1604493502.3128347,983,94.61024475097656
1604493504.071191,984,83.75411224365234
1604493509.6856918,987,84.55061340332031
